keyword,position,page,is_sponsored,brand,matched_sku,asin,title,price,product_url
boat earbuds,4,2,Yes,Noise,,B0CQJWQWD9,Noise,₹999,https://www.amazon.in/dp/B0CQJWQWD9
boat earbuds,6,2,No,boAt,,B0FPLP7SMZ,boAt,₹999,https://www.amazon.in/Airdopes-Drivers-Bluetooth-Wireless-Earphones/dp/B0FPLP7SMZ/ref=sr_1_20
boat earbuds,7,2,No,boAt,,B0D3DK779N,boAt,"₹1,499",https://www.amazon.in/boAt-Airdopes-300-Experience-Multipoint/dp/B0D3DK779N/ref=sr_1_21
boat earbuds,8,2,Yes,Noise,,B0GCNNWM13,Noise,₹899,https://www.amazon.in/dp/B0GCNNWM13
boat earbuds,9,2,Yes,Noise,,B0CYPZLV8C,Noise,"₹1,099",https://www.amazon.in/dp/B0CYPZLV8C
boat earbuds,11,2,No,boAt,,B0DQKY3R84,boAt,"₹1,999",https://www.amazon.in/boAt-Nirvana-TWS-Bluetooth-Earphones/dp/B0DQKY3R84/ref=sr_1_24
boat earbuds,12,2,No,boAt,,B0CZ417B2Q,boAt,₹799,https://www.amazon.in/boAt-Airdopes-311-Pro-Transparent/dp/B0CZ417B2Q/ref=sr_1_25
boat earbuds,13,2,Yes,Other: realme,,B0FBR6HGXM,realme,"₹1,571",https://www.amazon.in/dp/B0FBR6HGXM
boat earbuds,15,2,No,boAt,,B0D49ZS9MT,boAt,"₹1,299",https://www.amazon.in/boAt-Airdopes-121-Pro-Plus/dp/B0D49ZS9MT/ref=sr_1_28
boat earbuds,16,2,No,boAt,,B0G2S1MZRX,boAt,"₹2,799",https://www.amazon.in/Nirvana-Feedback-Bluetooth-Wireless-Earphones/dp/B0G2S1MZRX/ref=sr_1_29
boat earbuds,17,2,Yes,Noise,,B0GSZV3415,Noise,"₹1,199",https://www.amazon.in/dp/B0GSZV3415
boat earbuds,18,2,Yes,Other: Fire,,B0GHQD8KP2,"Fire-BolttAero Shadow TWS Earbuds Custom EQ, RGB Lights, Wireless Bluetooth 5.4, Music & App Support, 50H Playtime, Fast Charging Case, 50ms Low Latency for Gaming, Touch Controls - Flame Red",₹874,https://www.amazon.in/dp/B0GHQD8KP2
boat earbuds,19,2,No,boAt,,B0GC5STRB9,boAt,,https://www.amazon.in/Boat-Airdopes-Earbuds-Cosmic-Black/dp/B0GC5STRB9/ref=sr_1_32
boat earbuds,20,2,No,boAt,,B0GZNFM1CT,boAt,,https://www.amazon.in/boAt-Airdopes-ProClip-Conduction-Feather-Light/dp/B0GZNFM1CT/ref=sr_1_33
boat earbuds,21,2,No,boAt,,B0DBHBZZTN,boAt,"₹2,299",https://www.amazon.in/boAt-Tracking-Bluetooth-Wireless-Earphones/dp/B0DBHBZZTN/ref=sr_1_34
boat earbuds,22,2,No,boAt,,B0CRL6D5PH,boAt,₹999,https://www.amazon.in/boAt-Immortal-100-Earbuds-Black/dp/B0CRL6D5PH/ref=sr_1_35
boat earbuds,23,2,No,boAt,,B0D31QS9RH,boAt,"₹1,099",https://www.amazon.in/boAt-Airdopes-Ultra-Plus-Technology/dp/B0D31QS9RH/ref=sr_1_36
boat earbuds,24,2,No,boAt,,B0DJ8KY3FT,boAt,"₹1,899",https://www.amazon.in/boAt-Airdopes-Loop-Conduction-Earphones/dp/B0DJ8KY3FT/ref=sr_1_37
boat earbuds,25,2,No,boAt,,B0FM3N9DXH,boAt,"₹1,399",https://www.amazon.in/Airdopes-Multipoint-Connection-Bluetooth-Earphones/dp/B0FM3N9DXH/ref=sr_1_38
boat earbuds,26,2,No,boAt,,B0DXP8JM1M,boAt,"₹2,799",https://www.amazon.in/boAt-Nirvana-Zenith-Pro-Bluetooth/dp/B0DXP8JM1M/ref=sr_1_39
boat earbuds,27,2,No,Other: OnePlus,,B0FMDL81GS,OnePlus,"₹1,749",https://www.amazon.in/OnePlus-Playback-Translation-Dual-Device-Connectivity/dp/B0FMDL81GS/ref=sr_1_40
boat earbuds,28,2,No,boAt,,B0DPWJYQK1,boAt,"₹1,299",https://www.amazon.in/boAt-Airdopes-Bluetooth-Wireless-Earphones/dp/B0DPWJYQK1/ref=sr_1_41
boat smartwatch,3,1,Yes,boAt,,B0FBMFP94S,boAt,"₹6,499",https://www.amazon.in/dp/B0FBMFP94S
boat smartwatch,4,1,Yes,boAt,,B0FBMDRLD2,boAt,"₹5,999",https://www.amazon.in/dp/B0FBMDRLD2
boat smartwatch,5,1,No,boAt,,B0FLF44GTQ,boAt,"₹1,399",https://www.amazon.in/Smartwatch-Display-Animated-Functional-Multiple/dp/B0FLF44GTQ/ref=sr_1_3
boat smartwatch,6,1,No,boAt,,B0GX9JK9SN,boAt,"₹1,599",https://www.amazon.in/boAt-Smartwatch-Charging-Functional-Tracking/dp/B0GX9JK9SN/ref=sr_1_4
boat smartwatch,7,1,Yes,Other: Fire,,B0C497MSQN,Fire-Boltt,"₹1,299",https://www.amazon.in/dp/B0C497MSQN
boat smartwatch,8,1,Yes,Other: Fire,,B0DY7YPBJL,Fire-Boltt,"₹1,199",https://www.amazon.in/dp/B0DY7YPBJL
boat smartwatch,10,1,No,boAt,,B0G1T2GZP9,boAt,"₹1,499",https://www.amazon.in/Discovery-Metallic-Animated-Watchfaces-Bluetooth/dp/B0G1T2GZP9/ref=sr_1_7
boat smartwatch,11,1,No,boAt,,B0DFYL4635,boAt,"₹1,599",https://www.amazon.in/boAt-Lunar-Discovery-Navigation-Bluetooth/dp/B0DFYL4635/ref=sr_1_8
boat smartwatch,12,1,Yes,Other: Fire,,B0CMF25TKG,"Fire‑Boltt Rise Smart Watch 1.85″ HD Display with Bluetooth Calling, AI Voice Assistant, Rotating Crown,SpO2 & Heart Rate Monitor, 120+ Sports Modes,IP67 Waterproof Smart Watch for Men & Women - Black","₹1,299",https://www.amazon.in/dp/B0CMF25TKG
boat smartwatch,13,1,Yes,Other: Fire,,B0DY7YGY4D,Fire-Boltt,"₹1,199",https://www.amazon.in/dp/B0DY7YGY4D
boat smartwatch,14,1,No,boAt,,B0CVQG14RR,boAt,"₹1,499",https://www.amazon.in/boAt-Navigation-Display-Bluetooth-Emergency/dp/B0CVQG14RR/ref=sr_1_11
